Molecule,Size,Ds,Stderr
water,512,2.9364459136755967e-05,9.15182344651224e-07
water,1024,2.9075013500324728e-05,6.068526816290454e-07
water,2048,2.9738542345173137e-05,4.3753409188969783e-07
pentane,512,3.850197939558212e-05,1.2386564649367703e-06
pentane,1024,3.815505639171638e-05,8.03922726000452e-07
pentane,2048,3.737898518468513e-05,5.458832032266708e-07
hexane,512,2.466141160176755e-05,7.380793629464472e-07
hexane,1024,2.5808708381205166e-05,5.219646120422505e-07
hexane,2048,2.5555595608372066e-05,3.86519204250434e-07
heptane,512,1.8340004972358382e-05,5.455544950952503e-07
heptane,1024,1.7892738194767352e-05,3.6270186412649825e-07
heptane,2048,1.8109831682419665e-05,2.7191853450046475e-07
octane,512,1.303105562564717e-05,3.9321780983865957e-07
octane,1024,1.2145994196743213e-05,2.511711328833904e-07
octane,2048,1.2618298433089791e-05,1.90983879276391e-07
decane,512,6.032353094386581e-06,1.6502931179209715e-07
decane,1024,6.115994115684734e-06,1.281907573092366e-07
decane,2048,6.329532654773652e-06,9.197222447926927e-08
pentadecane,512,1.3094331182326685e-06,3.816835821556507e-08
pentadecane,1024,1.27461767563374e-06,2.6769824940843564e-08
pentadecane,2048,1.2751474737815692e-06,1.8241369052084853e-08
